id,subj,nseq,ntrialsubj,ntrialseq,lasttrial,H,I,D,event,R,P_group,pred_trials,AL,ALV,slat,linger,dwell
395,54,1,4,4,15,-1.5487949406954,0.807354922057604,0.00855998136220558,0,3.17805383034795,100,1,1,1,1379,1136,1773
395,54,1,5,5,15,-1.44661666762821,0.678071905112638,0.00543126911355016,0,4.78749174278205,100,1,0,NaN,1291,1117,2316
395,54,1,6,6,15,-1.35677964944704,0.584962500721156,0.00367160149046367,0,6.5792512120101,100,1,1,1,1392,957,2253
395,54,1,7,7,15,-1.27761343681912,0.514573172829758,0.00260198748089857,0,6.5792512120101,100,1,0,0,139,1015,3496
395,54,1,8,8,15,-1.20751874963942,0.459431618637297,0.00191286899787533,0,6.5792512120101,100,1,0,0,1479,1299,2057
395,54,1,9,9,15,-1.14511041438158,0.415037499278844,0.00144823907625648,0,6.5792512120101,100,1,0,NaN,1369,1016,2609
395,54,1,10,10,15,-1.08923007884258,0.37851162325373,0.00112327902986537,0,6.5792512120101,100,1,1,1,1520,1015,2393
395,54,1,11,11,15,-1.03892059503159,0.347923303420307,0.000889032116172857,0,6.5792512120101,100,1,0,0,912,1099,2933
395,54,1,12,12,15,-0.993392729010363,0.321928094887362,0.000715834762216511,0,6.5792512120101,100,1,1,1,447,918,3016
395,54,1,13,13,15,-0.951994081908783,0.299560281858908,0.000584973739729195,0,6.5792512120101,100,1,-1,0,143,900,3379
395,54,1,14,14,15,-0.914182838435214,0.280107919192735,0.000484234433789272,0,6.5792512120101,100,1,1,1,79,981,3176
395,54,1,15,15,15,-0.879506460812006,0.263034405833794,0.000405407486289974,0,6.5792512120101,100,1,1,1,-20,1347,3550
396,54,2,16,1,13,-1.92192809488736,2,0.0780719051126377,0,0,60,0,1,0,1871,1338,1873
396,54,2,17,2,13,-1.79248125036058,1.32192809488736,0.0294468445267842,0,0.693147180559945,60,1,0,0,287,935,3400
396,54,2,18,3,13,-1.84237099317711,2.58496250072116,0.0633218643778377,0,0.693147180559945,60,0,0,0,1249,948,2473
396,54,2,19,4,13,-1.75,1.22239242133645,0.0148736716970261,0,1.79175946922805,60,1,0,0,1767,946,1950
396,54,2,20,5,13,-1.65774272650489,1,0.00892394016177785,0,3.17805383034795,60,1,0,0,1528,858,810
396,54,2,21,6,13,-1.76096404744368,3.16992500144231,0.0479969065549501,0,3.17805383034795,60,0,0,0,1413,851,2133
