,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
SL0[5],-0.653,0.116,-0.837,-0.467,0.001,0.0,50391.053,50130.868,
SL0[6],-0.752,0.096,-0.906,-0.599,0.0,0.0,49623.707,49711.069,
SL0[7],-0.731,0.127,-0.93,-0.526,0.001,0.0,49819.924,48909.136,
SL0[8],-0.832,0.073,-0.949,-0.717,0.0,0.0,48670.257,49302.3,
SL0[9],-0.487,0.097,-0.643,-0.334,0.0,0.0,50008.961,49201.905,
SL0[10],0.384,0.096,0.225,0.534,0.0,0.0,49969.188,49774.047,
SL0[11],-0.911,0.15,-1.148,-0.667,0.001,0.0,48754.46,49337.684,
SL0[12],-0.645,0.096,-0.794,-0.488,0.0,0.0,47678.249,49978.638,
SL0[13],-0.373,0.099,-0.531,-0.215,0.0,0.0,49654.103,48546.584,
SL0[14],-0.292,0.14,-0.519,-0.072,0.001,0.0,48919.19,49545.214,
SL0[15],0.018,0.113,-0.16,0.202,0.001,0.0,49894.17,48743.512,
SL0[16],-0.251,0.194,-0.566,0.053,0.001,0.001,49656.014,50378.676,
SL0[17],-0.845,0.144,-1.074,-0.616,0.001,0.0,50098.84,48497.074,
SL0[18],0.287,0.166,0.019,0.552,0.001,0.001,50026.208,48964.116,
SL0[19],-0.476,0.158,-0.729,-0.225,0.001,0.001,50787.989,48156.611,
SL0[20],-0.67,0.1,-0.829,-0.51,0.0,0.0,49306.504,49636.961,
SL0[21],-0.706,0.109,-0.88,-0.533,0.0,0.0,49064.006,48794.746,
SL0[22],-0.461,0.12,-0.652,-0.269,0.001,0.0,48797.185,49340.635,
SL0[23],-0.544,0.162,-0.804,-0.286,0.001,0.001,48634.174,48734.931,
SL0[24],-1.041,0.13,-1.244,-0.827,0.001,0.0,49789.048,48100.142,
SL0[25],-0.344,0.166,-0.609,-0.079,0.001,0.001,49555.146,50428.691,
SL0[26],-0.336,0.088,-0.479,-0.197,0.0,0.0,49906.771,49216.244,
SL0[27],-0.5,0.102,-0.655,-0.331,0.0,0.0,48598.381,48075.614,
SL0[28],-0.388,0.122,-0.584,-0.195,0.001,0.0,49498.254,49711.122,
SL0[29],-0.218,0.135,-0.431,-0.0,0.001,0.0,48177.386,49461.331,
SL0[30],-0.079,0.127,-0.286,0.121,0.001,0.0,50405.566,49014.128,
SL0[31],-0.321,0.149,-0.556,-0.078,0.001,0.0,49680.292,49511.598,
SL0[32],0.021,0.134,-0.2,0.228,0.001,0.0,50635.162,50170.371,
SL0[33],-0.66,0.165,-0.924,-0.397,0.001,0.001,50112.505,49627.492,
SL0[34],-0.6,0.156,-0.853,-0.355,0.001,0.0,50783.318,49709.688,
SL0[35],-0.772,0.117,-0.957,-0.583,0.001,0.0,49008.129,49708.36,
SL0[36],-0.424,0.131,-0.635,-0.214,0.001,0.0,49939.507,48639.765,
SL0[37],-0.365,0.113,-0.547,-0.186,0.001,0.0,48710.104,48556.349,
SL0[38],-0.497,0.102,-0.661,-0.334,0.0,0.0,49723.915,50363.778,
SL0[39],-0.49,0.104,-0.654,-0.321,0.0,0.0,48747.757,49375.759,
SL0[40],-0.486,0.09,-0.631,-0.345,0.0,0.0,49214.294,50215.66,
SL0[41],-0.544,0.101,-0.704,-0.381,0.0,0.0,48140.562,49690.338,
SL0[42],-0.881,0.095,-1.033,-0.729,0.0,0.0,49307.576,47802.567,
SL0[43],-0.27,0.115,-0.457,-0.089,0.001,0.0,49682.108,47369.409,
SL0[44],-0.867,0.124,-1.066,-0.668,0.001,0.0,49925.258,49101.121,
SL0[45],-0.779,0.132,-0.992,-0.57,0.001,0.0,49433.796,50375.086,
SL0[46],-0.586,0.175,-0.871,-0.312,0.001,0.001,49018.976,48935.496,
SL0[47],-0.59,0.117,-0.774,-0.4,0.001,0.0,48730.996,49377.757,
