,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_LA[22],-1.881,0.563,-2.792,-0.995,0.003,0.002,49045.282,49809.672,
beta_LA[23],-0.769,0.6,-1.73,0.19,0.003,0.002,49375.515,47331.366,
beta_LA[24],-1.192,0.598,-2.156,-0.244,0.003,0.002,49249.432,49062.708,
beta_LA[25],-1.523,0.697,-2.665,-0.437,0.003,0.002,50016.223,50299.334,
beta_LA[26],-1.791,0.421,-2.478,-1.134,0.002,0.001,49354.382,49050.87,
beta_LA[27],-0.96,0.691,-2.053,0.156,0.003,0.002,48781.587,49095.706,
beta_LA[28],-1.099,0.612,-2.1,-0.142,0.003,0.002,48261.58,49207.419,
beta_LA[29],-1.78,0.535,-2.621,-0.917,0.002,0.002,50370.164,49400.846,
beta_LA[30],-0.634,0.631,-1.647,0.361,0.003,0.002,49964.402,49052.025,
beta_LA[31],-0.759,0.644,-1.798,0.253,0.003,0.002,50209.272,49623.023,
beta_LA[32],-1.181,0.729,-2.343,-0.019,0.003,0.002,49855.134,49164.243,
beta_LA[33],-1.605,0.698,-2.724,-0.494,0.003,0.002,50396.659,48241.28,
beta_LA[34],-1.817,0.574,-2.727,-0.897,0.003,0.002,49645.249,48939.253,
beta_LA[35],-1.366,0.497,-2.17,-0.582,0.002,0.002,49866.821,49667.455,
beta_LA[36],-1.137,0.511,-1.939,-0.305,0.002,0.002,48875.546,49997.69,
beta_LA[37],-1.797,0.501,-2.609,-1.005,0.002,0.002,49317.313,48851.579,
beta_LA[38],-1.885,0.547,-2.751,-1.004,0.002,0.002,50501.867,49807.123,
beta_LA[39],-1.584,0.529,-2.418,-0.736,0.002,0.002,49367.929,49275.249,
beta_LA[40],-0.872,0.407,-1.538,-0.237,0.002,0.001,49875.512,48689.004,
beta_LA[41],-1.542,0.522,-2.365,-0.697,0.002,0.002,50422.003,49043.966,
beta_LA[42],-1.62,0.415,-2.283,-0.959,0.002,0.001,49383.451,49589.828,
beta_LA[43],-0.957,0.468,-1.696,-0.195,0.002,0.001,48204.7,49617.798,
beta_LA[44],-1.189,0.502,-2.013,-0.408,0.002,0.002,49626.155,48449.684,
beta_LA[45],-1.502,0.636,-2.519,-0.486,0.003,0.002,49235.738,49484.086,
