,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
SL1[116],-0.556,0.095,-0.705,-0.401,0.0,0.0,49135.45,47411.674,
SL1[117],-0.289,0.082,-0.421,-0.159,0.0,0.0,50096.542,49535.441,
SL1[118],-0.308,0.062,-0.407,-0.208,0.0,0.0,49832.58,48205.04,
SL1[119],0.092,0.076,-0.031,0.211,0.0,0.0,50227.15,49546.915,
SL1[120],-0.412,0.101,-0.569,-0.247,0.0,0.0,49801.448,49318.412,
SL1[121],-0.192,0.065,-0.293,-0.087,0.0,0.0,49664.085,49985.191,
SL1[122],-0.268,0.089,-0.409,-0.124,0.0,0.0,48718.058,48556.757,
SL1[123],-0.411,0.105,-0.58,-0.246,0.0,0.0,50601.287,48829.314,
SL1[124],-0.044,0.071,-0.153,0.073,0.0,0.0,49389.253,48572.238,
SL1[125],0.109,0.082,-0.022,0.242,0.0,0.0,48543.185,48759.455,
SL1[126],-0.392,0.097,-0.546,-0.236,0.0,0.0,50163.803,49917.686,
SL1[127],-0.256,0.1,-0.414,-0.093,0.0,0.0,49640.426,50468.141,
SL1[128],-0.099,0.063,-0.201,-0.0,0.0,0.0,50452.624,49246.911,
SL1[129],0.048,0.07,-0.063,0.161,0.0,0.0,48581.33,49328.31,
SL1[130],0.325,0.165,0.054,0.582,0.001,0.001,50054.839,49827.065,
SL1[131],0.08,0.103,-0.078,0.25,0.0,0.0,49743.155,49442.883,
SL1[132],-0.003,0.236,-0.378,0.379,0.001,0.001,50137.705,49254.874,
SL1[133],0.027,0.164,-0.232,0.293,0.001,0.001,48688.164,48589.668,
SL1[134],-0.302,0.163,-0.562,-0.042,0.001,0.001,48261.5,48552.682,
SL1[135],-0.434,0.069,-0.54,-0.32,0.0,0.0,49409.253,48290.109,
SL1[136],-0.088,0.082,-0.22,0.043,0.0,0.0,48501.393,48788.51,
SL1[137],-0.367,0.096,-0.52,-0.212,0.0,0.0,48818.018,50324.172,
SL1[138],-0.231,0.085,-0.367,-0.098,0.0,0.0,50230.113,49586.522,
SL1[139],-0.331,0.075,-0.454,-0.212,0.0,0.0,49720.766,49585.285,
SL1[140],0.16,0.088,0.022,0.301,0.0,0.0,49636.631,48820.66,
SL1[141],-0.249,0.066,-0.354,-0.142,0.0,0.0,49671.298,50107.664,
SL1[142],-0.165,0.168,-0.429,0.107,0.001,0.001,48666.938,48542.976,
SL1[143],-0.599,0.164,-0.847,-0.324,0.001,0.001,49968.652,49502.181,
SL1[144],0.015,0.172,-0.262,0.287,0.001,0.001,50283.027,49628.763,
SL2,-0.002,0.009,-0.016,0.012,0.0,0.0,49484.532,49487.725,
SL3,0.057,0.009,0.043,0.071,0.0,0.0,50058.813,49784.995,
eps_SL,0.681,0.006,0.671,0.692,0.0,0.0,48009.344,49141.294,
lambda0[0],0.058,0.026,0.02,0.092,0.0,0.0,49178.937,48540.844,
lambda0[1],0.122,0.042,0.057,0.179,0.0,0.0,49643.949,48800.335,
lambda0[2],0.096,0.04,0.039,0.151,0.0,0.0,47544.903,47938.333,
lambda0[3],0.087,0.032,0.04,0.132,0.0,0.0,50177.335,49543.972,
lambda0[4],0.088,0.032,0.04,0.132,0.0,0.0,48981.925,49221.259,
lambda0[5],0.073,0.029,0.03,0.112,0.0,0.0,49832.793,49029.647,
lambda0[6],0.072,0.025,0.034,0.107,0.0,0.0,48728.603,49190.384,
lambda0[7],0.052,0.028,0.014,0.088,0.0,0.0,50326.593,46557.195,
lambda0[8],0.048,0.017,0.022,0.072,0.0,0.0,49217.363,49375.183,
lambda0[9],0.081,0.028,0.039,0.121,0.0,0.0,49922.715,48048.435,
lambda0[10],0.058,0.024,0.023,0.091,0.0,0.0,49936.213,49669.166,
lambda0[11],0.067,0.037,0.018,0.113,0.0,0.0,49601.983,49134.775,
lambda0[12],0.061,0.022,0.028,0.092,0.0,0.0,49935.001,49645.746,
lambda0[13],0.05,0.024,0.016,0.082,0.0,0.0,49661.5,48609.801,
lambda0[14],0.077,0.041,0.021,0.129,0.0,0.0,49103.862,50343.052,
lambda0[15],0.05,0.024,0.016,0.082,0.0,0.0,49347.599,49469.746,
lambda0[16],0.107,0.058,0.029,0.18,0.0,0.0,49973.415,49262.286,
lambda0[17],0.053,0.033,0.011,0.094,0.0,0.0,50613.231,48928.585,
lambda0[18],0.049,0.039,0.006,0.091,0.0,0.0,50193.05,49706.608,
lambda0[19],0.106,0.051,0.036,0.175,0.0,0.0,49846.727,49558.779,
lambda0[20],0.047,0.023,0.015,0.077,0.0,0.0,49671.556,49752.687,
lambda0[21],0.038,0.021,0.01,0.064,0.0,0.0,50197.811,49665.876,
lambda0[22],0.118,0.042,0.055,0.178,0.0,0.0,49356.612,48545.052,
lambda0[23],0.094,0.052,0.026,0.16,0.0,0.0,48961.517,49083.08,
lambda0[24],0.073,0.036,0.023,0.119,0.0,0.0,50669.851,50006.934,
lambda0[25],0.079,0.044,0.021,0.134,0.0,0.0,50110.705,49853.719,
lambda0[26],0.075,0.024,0.039,0.109,0.0,0.0,50495.833,49843.064,
lambda0[27],0.022,0.017,0.003,0.041,0.0,0.0,48915.477,49337.795,
lambda0[28],0.056,0.031,0.015,0.095,0.0,0.0,50622.612,50003.226,
lambda0[29],0.096,0.04,0.038,0.149,0.0,0.0,50560.831,49418.564,
lambda0[30],0.051,0.032,0.011,0.09,0.0,0.0,50509.134,49735.681,
lambda0[31],0.064,0.04,0.013,0.112,0.0,0.0,50892.994,49295.653,
lambda0[32],0.037,0.028,0.005,0.068,0.0,0.0,49694.176,49335.851,
lambda0[33],0.079,0.043,0.022,0.134,0.0,0.0,49978.776,49061.108,
lambda0[34],0.116,0.048,0.045,0.181,0.0,0.0,49972.384,49027.271,
lambda0[35],0.104,0.037,0.049,0.157,0.0,0.0,49369.653,48661.391,
lambda0[36],0.124,0.049,0.053,0.191,0.0,0.0,49596.251,49849.823,
lambda0[37],0.075,0.028,0.033,0.115,0.0,0.0,48968.588,49263.784,
lambda0[38],0.05,0.021,0.02,0.078,0.0,0.0,46926.174,46852.176,
lambda0[39],0.051,0.023,0.019,0.082,0.0,0.0,51067.834,50003.726,
lambda0[40],0.099,0.032,0.05,0.145,0.0,0.0,50394.913,48424.719,
lambda0[41],0.061,0.025,0.025,0.096,0.0,0.0,49919.412,48672.701,
lambda0[42],0.101,0.032,0.053,0.148,0.0,0.0,50233.741,49636.961,
lambda0[43],0.113,0.044,0.049,0.173,0.0,0.0,50242.733,49804.965,
lambda0[44],0.108,0.042,0.047,0.168,0.0,0.0,50277.321,49458.664,
lambda0[45],0.055,0.03,0.014,0.092,0.0,0.0,48463.098,49749.525,
lambda0[46],0.121,0.054,0.045,0.195,0.0,0.0,49757.308,48189.184,
lambda0[47],0.101,0.042,0.04,0.158,0.0,0.0,49485.538,48939.072,
lambda0[48],0.03,0.014,0.011,0.048,0.0,0.0,49945.849,48858.711,
lambda0[49],0.088,0.043,0.029,0.145,0.0,0.0,50063.943,49466.014,
lambda0[50],0.093,0.03,0.047,0.136,0.0,0.0,49938.94,48549.564,
lambda0[51],0.093,0.041,0.034,0.148,0.0,0.0,49533.693,49876.421,
lambda0[52],0.036,0.02,0.01,0.062,0.0,0.0,50022.965,49878.162,
lambda0[53],0.06,0.038,0.012,0.105,0.0,0.0,48061.918,48836.866,
lambda0[54],0.108,0.048,0.04,0.172,0.0,0.0,49357.239,49008.328,
lambda0[55],0.052,0.028,0.014,0.088,0.0,0.0,49461.731,49545.224,
lambda0[56],0.068,0.037,0.018,0.114,0.0,0.0,47777.319,48157.273,
lambda0[57],0.071,0.033,0.025,0.116,0.0,0.0,47810.619,48042.742,
lambda0[58],0.047,0.02,0.019,0.074,0.0,0.0,50291.497,49287.542,
lambda0[59],0.09,0.034,0.04,0.138,0.0,0.0,50735.802,49638.295,
lambda0[60],0.057,0.024,0.023,0.091,0.0,0.0,50531.24,49712.705,
lambda0[61],0.023,0.015,0.005,0.041,0.0,0.0,50018.655,49578.026,
lambda0[62],0.077,0.027,0.036,0.114,0.0,0.0,48813.61,48842.438,
lambda0[63],0.09,0.037,0.036,0.14,0.0,0.0,49171.938,49586.591,
lambda0[64],0.1,0.045,0.035,0.16,0.0,0.0,49716.401,49794.532,
lambda0[65],0.057,0.035,0.012,0.099,0.0,0.0,50122.899,50128.574,
lambda0[66],0.051,0.028,0.014,0.086,0.0,0.0,49474.542,48112.226,
lambda0[67],0.028,0.018,0.006,0.05,0.0,0.0,49427.183,49146.345,
lambda0[68],0.048,0.023,0.016,0.078,0.0,0.0,49723.94,48828.784,
lambda0[69],0.074,0.036,0.023,0.12,0.0,0.0,49837.45,48286.454,
lambda0[70],0.094,0.032,0.045,0.14,0.0,0.0,49051.863,48438.863,
lambda0[71],0.104,0.052,0.032,0.171,0.0,0.0,50298.481,49505.584,
lambda0[72],0.042,0.016,0.018,0.064,0.0,0.0,50364.289,50471.61,
lambda0[73],0.053,0.023,0.02,0.085,0.0,0.0,50765.263,49478.411,
lambda0[74],0.017,0.009,0.004,0.028,0.0,0.0,50249.632,49760.332,
lambda0[75],0.087,0.053,0.019,0.153,0.0,0.0,46927.572,49629.376,
lambda0[76],0.077,0.049,0.016,0.135,0.0,0.0,50257.222,49221.544,
lambda0[77],0.112,0.072,0.022,0.199,0.0,0.001,50773.336,49602.705,
lambda0[78],0.033,0.014,0.013,0.052,0.0,0.0,49037.395,48505.091,
