,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
SL1[21],-0.082,0.093,-0.235,0.06,0.001,0.001,31628.305,13992.353,1.0
SL1[22],-0.26,0.226,-0.635,0.09,0.002,0.001,16669.554,14816.916,1.0
SL1[23],-0.143,0.135,-0.362,0.065,0.001,0.001,17905.443,15158.174,1.0
SL1[24],-0.16,0.15,-0.396,0.083,0.001,0.001,25012.5,15664.012,1.0
SL1[25],0.135,0.213,-0.206,0.47,0.002,0.001,18639.78,15669.268,1.0
SL1[26],-0.064,0.085,-0.204,0.068,0.001,0.001,26701.789,14450.639,1.0
SL1[27],-0.176,0.08,-0.306,-0.051,0.001,0.0,24579.376,15914.205,1.0
SL1[28],-0.114,0.097,-0.274,0.036,0.001,0.001,28272.97,14332.96,1.0
SL1[29],-0.222,0.108,-0.396,-0.052,0.001,0.001,23095.747,14756.893,1.0
SL1[30],-0.104,0.108,-0.271,0.073,0.001,0.001,23111.105,13658.667,1.0
SL1[31],0.137,0.259,-0.266,0.537,0.003,0.003,6459.024,6492.567,1.001
SL1[32],0.165,0.198,-0.142,0.491,0.002,0.001,17112.453,15984.808,1.0
SL1[33],-0.466,0.232,-0.838,-0.101,0.002,0.001,21831.404,15542.986,1.0
SL1[34],-0.397,0.152,-0.64,-0.15,0.001,0.001,16600.736,15008.246,1.0
SL1[35],-0.435,0.099,-0.603,-0.289,0.001,0.0,23576.728,15562.838,1.0
SL1[36],0.242,0.211,-0.1,0.577,0.001,0.001,20246.57,16060.383,1.0
SL1[37],-0.225,0.171,-0.5,0.045,0.001,0.001,24177.557,16168.866,1.0
SL1[38],-0.065,0.158,-0.32,0.181,0.001,0.001,26232.676,15836.843,1.0
SL1[39],-0.368,0.098,-0.518,-0.205,0.001,0.0,24736.903,15113.391,1.0
SL1[40],0.053,0.069,-0.059,0.163,0.0,0.0,27952.773,13410.217,1.0
SL1[41],-0.023,0.073,-0.143,0.093,0.0,0.001,29937.055,14252.179,1.0
SL1[42],-0.499,0.081,-0.625,-0.367,0.001,0.0,22283.355,13952.311,1.0
SL1[43],-0.1,0.094,-0.247,0.052,0.001,0.001,26591.075,14691.987,1.0
SL1[44],-0.086,0.156,-0.337,0.162,0.001,0.001,14724.739,14076.661,1.0
SL1[45],-0.11,0.097,-0.271,0.041,0.001,0.0,29315.432,15169.226,1.0
SL1[46],-0.062,0.228,-0.436,0.298,0.001,0.002,27736.117,14679.877,1.0
SL1[47],-0.066,0.099,-0.221,0.094,0.001,0.001,26758.773,14425.572,1.0
SL1[48],-0.075,0.067,-0.183,0.03,0.0,0.0,24311.195,14600.706,1.0
SL1[49],0.017,0.185,-0.286,0.301,0.001,0.001,15511.161,14949.9,1.001
SL1[50],-0.183,0.078,-0.31,-0.062,0.0,0.0,25735.947,13719.861,1.0
SL1[51],-0.082,0.163,-0.339,0.178,0.001,0.001,30158.344,15184.915,1.0
SL1[52],-0.411,0.071,-0.528,-0.301,0.0,0.0,26395.298,16040.352,1.0
SL1[53],-0.67,0.121,-0.856,-0.474,0.001,0.001,20266.274,15998.631,1.0
SL1[54],0.395,0.292,-0.069,0.853,0.002,0.002,19489.844,13950.849,1.0
SL1[55],-0.024,0.304,-0.516,0.451,0.002,0.002,19076.273,14756.876,1.0
SL1[56],-0.397,0.176,-0.678,-0.113,0.001,0.001,19145.666,15027.884,1.0
SL1[57],0.038,0.117,-0.148,0.225,0.001,0.001,26099.841,14693.055,1.0
SL1[58],-0.217,0.07,-0.329,-0.104,0.0,0.0,29209.631,14212.899,1.0
SL1[59],-0.022,0.179,-0.297,0.273,0.002,0.001,9006.963,13124.719,1.0
SL1[60],-0.27,0.102,-0.434,-0.109,0.001,0.001,22170.407,15871.361,1.0
SL1[61],-0.106,0.079,-0.229,0.023,0.0,0.0,26115.07,14133.405,1.0
SL1[62],0.017,0.087,-0.122,0.158,0.001,0.001,18842.284,15556.261,1.0
SL1[63],0.183,0.131,-0.018,0.397,0.001,0.001,23864.032,14855.5,1.0
SL1[64],-0.114,0.176,-0.387,0.173,0.001,0.001,24440.438,15283.387,1.0
SL1[65],-0.127,0.116,-0.311,0.06,0.001,0.001,30293.121,14988.122,1.0
SL1[66],-0.141,1.008,-1.739,1.475,0.028,0.02,1328.088,2414.588,1.001
SL1[67],-0.223,0.74,-1.392,0.979,0.023,0.016,1077.111,2704.015,1.002
SL1[68],-0.44,0.097,-0.585,-0.279,0.001,0.0,28957.861,14637.933,1.0
SL1[69],0.251,0.201,-0.069,0.574,0.001,0.001,21192.204,15031.041,1.0
SL1[70],-0.326,0.101,-0.491,-0.167,0.001,0.0,28320.24,15180.652,1.0
SL1[71],-0.057,0.174,-0.335,0.22,0.001,0.001,30032.319,13961.817,1.0
SL1[72],-0.295,0.067,-0.404,-0.189,0.0,0.0,26698.862,16163.094,1.0
SL1[73],0.109,0.081,-0.019,0.24,0.0,0.0,28533.983,14654.483,1.0
SL1[74],-0.425,0.123,-0.623,-0.232,0.001,0.001,7234.249,10930.543,1.0
SL1[75],-0.251,0.216,-0.591,0.095,0.001,0.001,29227.895,14431.907,1.0
SL1[76],0.187,0.255,-0.209,0.606,0.002,0.001,23751.922,15953.274,1.0
SL1[77],-0.229,0.78,-1.463,1.019,0.011,0.008,4736.675,8134.726,1.0
SL1[78],-0.136,0.062,-0.233,-0.033,0.0,0.0,23435.551,13596.11,1.0
SL1[79],-0.246,0.091,-0.393,-0.105,0.001,0.0,27030.319,13289.051,1.0
